rpe,hardcode,min,avg,max
0,0.50,0.36,0.43,0.51
1,0.45,0.36,0.41,0.48
2,0.40,0.33,0.40,0.46
3,0.36,0.28,0.34,0.38
4,0.33,0.31,0.35,0.39
5,0.30,0.25,0.32,0.39
6,0.27,0.23,0.27,0.35
7,0.23,0.23,0.24,0.27
8,0.20,0.17,0.21,0.23
9,0.15,0.13,0.15,0.19
10,0.10,0.10,0.11,0.12
