rpe,hardcode,min,avg,max
0,,,,
1,,,,
2,,0.38,0.38,0.38
3,,0.26,0.32,0.37
4,,0.26,0.28,0.29
5,,0.23,0.23,0.23
6,,0.21,0.21,0.21
7,,0.19,0.20,0.20
8,,0.17,0.18,0.18
9,,0.14,0.16,0.20
10,,0.12,0.12,0.12
