rpe,hardcode,min,avg,max
0,0.60,0.43,0.55,0.65
1,0.55,0.41,0.49,0.59
2,0.50,0.39,0.47,0.54
3,0.48,0.39,0.45,0.50
4,0.45,0.35,0.42,0.49
5,0.42,0.36,0.41,0.48
6,0.40,0.32,0.38,0.41
7,0.36,0.30,0.34,0.38
8,0.33,0.30,0.34,0.39
9,0.28,0.28,0.29,0.31
10,0.22,0.22,0.22,0.23
