Weight (lbs):,129.27397918915733
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.46,-2.00,25658,0.92,9825
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,-0.12,32891,0.13,30608
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.43,0.00,38723,2.00,25658
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.63,-9.90,7158,20,37390
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.34,-1.70,11108,2.11,2541
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.82,0.00,38723,20,11108
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.39,-0.01,21625,0.65,6075
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.04,-0.03,33175,0.07,24941
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.37,0.00,0,0.65,6075
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.57,0.00,38723,1.39,37406
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,38723,0.01,30575
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.57,0.00,38723,1.39,37406
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.26,0.00,7158,3.85,37390
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.06,0.00,38723,0.27,2541
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.26,0.03,37473,3.85,25725
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
32,0.51,0.03,0.01,0.04,0.75,0.06,0.75,0.00,0.01,0.01,0.05,0.00,0.05,1.37,0.01,1.37
33,0.53,0.05,0.01,0.05,0.89,-0.00,0.89,0.00,0.01,0.01,0.07,0.00,0.07,1.38,0.00,1.38
34,0.54,0.06,0.01,0.06,0.79,-0.08,0.79,0.00,0.01,0.01,0.09,0.00,0.09,1.37,0.00,1.37
35,0.56,0.07,0.00,0.07,0.37,-0.07,0.38,0.01,0.01,0.01,0.10,0.00,0.10,1.32,0.00,1.32
36,0.57,0.07,0.00,0.07,-0.18,0.06,0.19,0.01,0.01,0.01,0.09,0.00,0.09,1.25,0.01,1.25
37,0.59,0.07,0.01,0.07,-0.37,0.20,0.43,0.01,0.01,0.01,0.08,0.00,0.08,1.22,0.03,1.22
38,0.61,0.07,0.01,0.07,-0.01,0.29,0.29,0.01,0.01,0.01,0.08,0.00,0.08,1.27,0.04,1.27
39,0.62,0.07,0.02,0.07,0.54,0.32,0.62,0.01,0.01,0.01,0.09,0.00,0.09,1.34,0.04,1.34
40,0.64,0.08,0.02,0.09,0.92,0.32,0.98,0.01,0.01,0.01,0.11,0.00,0.11,1.39,0.04,1.39
41,0.66,0.10,0.03,0.10,1.14,0.24,1.17,0.01,0.01,0.02,0.14,0.00,0.14,1.42,0.03,1.42
42,0.68,0.12,0.03,0.12,1.12,0.05,1.12,0.02,0.01,0.02,0.17,0.00,0.17,1.41,0.01,1.41
43,0.69,0.13,0.03,0.14,0.76,-0.16,0.78,0.02,0.01,0.02,0.18,0.00,0.18,1.37,0.00,1.37
44,0.71,0.14,0.02,0.15,0.35,-0.29,0.45,0.02,0.01,0.02,0.19,0.00,0.19,1.31,0.00,1.31
45,0.72,0.15,0.02,0.15,0.28,-0.24,0.36,0.02,0.01,0.03,0.19,0.00,0.19,1.30,0.00,1.30
46,0.74,0.16,0.02,0.16,0.55,0.07,0.56,0.02,0.01,0.03,0.21,0.00,0.21,1.34,0.01,1.34
47,0.76,0.17,0.02,0.17,0.99,0.57,1.14,0.03,0.01,0.03,0.24,0.00,0.24,1.40,0.07,1.40
48,0.78,0.19,0.04,0.19,1.47,0.90,1.73,0.03,0.01,0.03,0.28,0.00,0.28,1.46,0.12,1.46
49,0.79,0.22,0.05,0.22,1.84,0.76,1.99,0.03,0.01,0.04,0.33,0.00,0.33,1.51,0.10,1.51
50,0.81,0.25,0.06,0.26,1.98,0.26,2.00,0.04,0.01,0.04,0.38,0.00,0.38,1.52,0.03,1.52
51,0.82,0.28,0.06,0.29,1.96,-0.21,1.97,0.04,0.02,0.04,0.43,0.00,0.43,1.52,0.00,1.52
52,0.84,0.31,0.05,0.32,1.88,-0.45,1.93,0.05,0.02,0.05,0.47,0.00,0.47,1.51,0.00,1.51
53,0.86,0.34,0.05,0.35,1.71,-0.42,1.76,0.05,0.02,0.05,0.51,0.00,0.51,1.49,0.00,1.49
54,0.88,0.37,0.04,0.37,1.41,-0.13,1.41,0.06,0.02,0.06,0.54,0.00,0.54,1.45,0.00,1.45
55,0.89,0.39,0.04,0.39,1.02,0.21,1.04,0.06,0.02,0.07,0.55,0.00,0.55,1.40,0.03,1.40
56,0.91,0.40,0.05,0.41,0.73,0.21,0.76,0.07,0.02,0.07,0.55,0.00,0.55,1.36,0.03,1.36
57,0.93,0.42,0.05,0.42,0.71,-0.05,0.71,0.08,0.02,0.08,0.57,0.00,0.57,1.36,0.00,1.36
58,0.94,0.43,0.05,0.43,0.97,-0.12,0.98,0.09,0.02,0.09,0.60,0.00,0.60,1.39,0.00,1.39
59,0.96,0.45,0.05,0.45,1.31,0.15,1.32,0.09,0.02,0.09,0.65,0.00,0.65,1.44,0.02,1.44
60,0.97,0.47,0.05,0.47,1.46,0.38,1.51,0.10,0.02,0.10,0.69,0.00,0.69,1.46,0.05,1.46
61,0.99,0.50,0.06,0.50,1.36,0.30,1.39,0.11,0.02,0.11,0.72,0.00,0.72,1.44,0.04,1.44
62,1.01,0.52,0.06,0.52,1.10,0.04,1.10,0.12,0.02,0.12,0.73,0.00,0.73,1.41,0.01,1.41
63,1.02,0.53,0.06,0.54,0.80,-0.25,0.84,0.13,0.03,0.13,0.73,0.00,0.73,1.37,0.00,1.37
64,1.04,0.54,0.05,0.55,0.59,-0.53,0.80,0.13,0.03,0.14,0.73,0.00,0.73,1.34,0.00,1.34
65,1.06,0.55,0.04,0.55,0.39,-0.60,0.72,0.14,0.03,0.15,0.73,0.00,0.73,1.32,0.00,1.32
66,1.07,0.56,0.03,0.56,0.05,-0.26,0.26,0.15,0.03,0.16,0.71,0.00,0.71,1.28,0.00,1.28
67,1.09,0.55,0.03,0.56,-0.25,0.21,0.32,0.16,0.03,0.16,0.69,0.00,0.69,1.24,0.03,1.24
68,1.11,0.55,0.04,0.55,-0.21,0.33,0.39,0.17,0.03,0.17,0.68,0.00,0.68,1.24,0.04,1.24
69,1.12,0.55,0.04,0.55,0.23,0.10,0.25,0.18,0.03,0.18,0.71,0.00,0.71,1.30,0.01,1.30
70,1.14,0.56,0.04,0.56,0.94,-0.16,0.95,0.19,0.03,0.19,0.78,0.00,0.78,1.39,0.00,1.39
71,1.16,0.58,0.04,0.58,1.66,-0.34,1.70,0.20,0.03,0.20,0.86,0.00,0.86,1.48,0.00,1.48
72,1.18,0.61,0.03,0.61,2.01,-0.43,2.06,0.21,0.03,0.21,0.94,0.00,0.94,1.53,0.00,1.53
73,1.19,0.64,0.02,0.64,1.80,-0.44,1.85,0.22,0.03,0.22,0.97,0.00,0.97,1.50,0.00,1.50
74,1.21,0.67,0.02,0.67,1.29,-0.39,1.35,0.23,0.03,0.23,0.96,0.00,0.96,1.44,0.00,1.44
75,1.23,0.69,0.01,0.69,0.97,-0.46,1.07,0.24,0.03,0.24,0.96,0.00,0.96,1.39,0.00,1.39
76,1.24,0.70,0.00,0.70,0.91,-0.62,1.10,0.25,0.03,0.26,0.98,0.00,0.98,1.39,0.00,1.39
77,1.26,0.72,-0.01,0.72,0.85,-0.65,1.07,0.27,0.03,0.27,0.99,0.00,0.99,1.38,0.00,1.38
78,1.27,0.73,-0.02,0.73,0.66,-0.39,0.77,0.28,0.03,0.28,0.99,0.00,0.99,1.35,0.00,1.35
79,1.29,0.74,-0.02,0.74,0.37,0.07,0.38,0.29,0.03,0.29,0.97,0.00,0.97,1.32,0.01,1.32
80,1.31,0.74,-0.02,0.74,0.04,0.55,0.55,0.30,0.03,0.30,0.95,0.00,0.95,1.27,0.07,1.28
81,1.32,0.74,-0.01,0.74,-0.06,0.81,0.81,0.32,0.03,0.32,0.94,0.00,0.94,1.26,0.11,1.26
82,1.34,0.75,0.01,0.75,0.36,0.67,0.76,0.33,0.03,0.33,0.98,0.00,0.98,1.31,0.09,1.32
83,1.36,0.76,0.01,0.76,1.11,0.14,1.12,0.34,0.03,0.34,1.07,0.00,1.07,1.41,0.02,1.41
84,1.38,0.78,0.01,0.78,1.63,-0.50,1.71,0.35,0.03,0.35,1.16,0.00,1.16,1.48,0.00,1.48
85,1.39,0.81,-0.00,0.81,1.61,-0.89,1.84,0.36,0.03,0.37,1.19,0.00,1.19,1.48,0.00,1.48
86,1.41,0.83,-0.02,0.83,1.17,-0.90,1.48,0.38,0.03,0.38,1.18,0.00,1.18,1.42,0.00,1.42
87,1.43,0.85,-0.03,0.85,0.64,-0.64,0.91,0.39,0.03,0.39,1.14,0.00,1.14,1.35,0.00,1.35
88,1.44,0.85,-0.04,0.85,0.28,-0.32,0.42,0.41,0.03,0.41,1.11,0.00,1.11,1.30,0.00,1.30
89,1.46,0.86,-0.04,0.86,0.17,-0.16,0.24,0.42,0.03,0.42,1.11,0.00,1.11,1.29,0.00,1.29
90,1.48,0.86,-0.04,0.86,0.18,-0.33,0.38,0.44,0.03,0.44,1.11,0.00,1.11,1.29,0.00,1.29
91,1.49,0.86,-0.05,0.86,0.07,-0.65,0.65,0.45,0.03,0.45,1.10,0.00,1.10,1.28,0.00,1.28
92,1.51,0.86,-0.06,0.86,-0.21,-0.59,0.63,0.46,0.03,0.47,1.07,0.00,1.07,1.24,0.00,1.24
93,1.52,0.86,-0.07,0.86,-0.49,-0.03,0.49,0.48,0.03,0.48,1.03,0.00,1.03,1.20,0.00,1.20
94,1.54,0.85,-0.06,0.85,-0.66,0.57,0.87,0.49,0.02,0.49,1.00,0.00,1.00,1.18,0.07,1.19
95,1.56,0.83,-0.05,0.84,-0.74,0.94,1.20,0.51,0.02,0.51,0.98,0.00,0.98,1.17,0.12,1.18
96,1.57,0.82,-0.03,0.82,-0.88,1.08,1.40,0.52,0.02,0.52,0.95,0.00,0.95,1.15,0.14,1.16
97,1.59,0.80,-0.02,0.80,-1.36,0.79,1.58,0.54,0.02,0.54,0.88,0.00,0.88,1.09,0.10,1.10
98,1.61,0.77,-0.01,0.77,-2.13,0.18,2.13,0.55,0.02,0.55,0.77,0.00,0.77,0.99,0.02,0.99
99,1.62,0.73,-0.01,0.73,-2.77,-0.15,2.77,0.56,0.02,0.56,0.67,0.00,0.67,0.91,0.00,0.91
100,1.64,0.68,-0.01,0.68,-3.12,0.16,3.12,0.57,0.02,0.57,0.59,0.00,0.59,0.87,0.02,0.87
101,1.66,0.63,-0.00,0.63,-3.26,0.60,3.31,0.58,0.02,0.59,0.53,0.00,0.53,0.85,0.08,0.85
102,1.68,0.58,0.01,0.58,-3.22,0.68,3.30,0.59,0.02,0.59,0.49,0.00,0.49,0.85,0.09,0.86
103,1.69,0.52,0.02,0.52,-3.11,0.61,3.17,0.60,0.02,0.60,0.45,0.00,0.45,0.87,0.08,0.87
104,1.71,0.47,0.03,0.47,-3.00,0.42,3.03,0.61,0.02,0.61,0.42,0.00,0.42,0.88,0.05,0.88
105,1.73,0.42,0.03,0.42,-3.01,-0.06,3.01,0.62,0.02,0.62,0.37,0.00,0.37,0.88,0.00,0.88
106,1.74,0.37,0.03,0.37,-3.13,-0.41,3.16,0.63,0.02,0.63,0.32,0.00,0.32,0.86,0.00,0.86
107,1.76,0.32,0.02,0.32,-3.23,-0.21,3.24,0.63,0.02,0.63,0.27,0.00,0.27,0.85,0.00,0.85
108,1.77,0.26,0.02,0.27,-3.24,0.14,3.24,0.64,0.02,0.64,0.22,0.00,0.22,0.85,0.02,0.85
109,1.79,0.21,0.02,0.21,-3.22,0.11,3.22,0.64,0.02,0.64,0.18,0.00,0.18,0.85,0.01,0.85
110,1.81,0.16,0.02,0.16,-3.18,-0.19,3.19,0.64,0.02,0.64,0.13,0.00,0.13,0.86,0.00,0.86
111,1.82,0.11,0.02,0.11,-3.01,-0.46,3.05,0.65,0.03,0.65,0.09,0.00,0.09,0.88,0.00,0.88
112,1.84,0.06,0.01,0.06,-2.58,-0.74,2.68,0.65,0.03,0.65,0.05,0.00,0.05,0.93,0.00,0.93
113,1.86,0.02,-0.01,0.02,-2.04,-0.89,2.23,0.65,0.03,0.65,0.02,0.00,0.02,1.00,0.00,1.00
114,1.88,-0.01,-0.02,0.02,-1.65,-0.56,1.74,0.65,0.03,0.65,0.00,0.00,0.00,1.05,0.00,1.05
115,1.89,-0.04,-0.02,0.04,-1.30,0.12,1.31,0.65,0.02,0.65,0.00,0.00,0.00,1.10,0.02,1.10
116,1.91,-0.05,-0.02,0.06,-0.79,0.60,0.99,0.65,0.02,0.65,0.00,0.00,0.00,1.17,0.08,1.17
117,1.93,-0.06,-0.01,0.06,-0.17,0.60,0.62,0.64,0.02,0.65,0.00,0.00,0.00,1.25,0.08,1.25
118,1.94,-0.06,-0.00,0.06,0.35,0.28,0.44,0.64,0.02,0.64,0.00,0.00,0.00,1.31,0.04,1.31
119,1.96,-0.05,0.00,0.05,0.60,-0.19,0.63,0.64,0.02,0.64,0.00,0.00,0.00,1.35,0.00,1.35
120,1.98,-0.04,-0.01,0.04,0.53,-0.64,0.83,0.64,0.02,0.64,0.00,0.00,0.00,1.34,0.00,1.34
121,1.99,-0.03,-0.02,0.04,0.26,-0.83,0.87,0.64,0.02,0.64,0.00,0.00,0.00,1.30,0.00,1.30
122,2.01,-0.03,-0.03,0.04,0.03,-0.62,0.62,0.64,0.02,0.64,0.00,0.00,0.00,1.27,0.00,1.27
123,2.02,-0.03,-0.04,0.05,0.04,-0.19,0.19,0.64,0.02,0.64,0.00,0.00,0.00,1.27,0.00,1.27
124,2.04,-0.03,-0.04,0.05,0.34,0.17,0.37,0.64,0.02,0.64,0.00,0.00,0.00,1.31,0.02,1.31
125,2.06,-0.02,-0.03,0.04,0.74,0.34,0.81,0.64,0.02,0.64,0.00,0.00,0.00,1.36,0.04,1.36
126,2.08,-0.01,-0.03,0.03,0.93,0.37,1.00,0.64,0.02,0.64,0.00,0.00,0.00,1.39,0.05,1.39
127,2.09,0.01,-0.02,0.02,0.77,0.32,0.83,0.64,0.02,0.64,0.01,0.00,0.01,1.37,0.04,1.37
128,2.11,0.02,-0.02,0.02,0.30,0.28,0.41,0.64,0.02,0.64,0.02,0.00,0.02,1.31,0.04,1.31
129,2.12,0.02,-0.01,0.02,-0.26,0.38,0.46,0.64,0.02,0.64,0.02,0.00,0.02,1.23,0.05,1.24
130,2.14,0.01,-0.00,0.01,-0.65,0.48,0.81,0.64,0.02,0.64,0.01,0.00,0.01,1.18,0.06,1.19
131,2.16,-0.00,0.00,0.00,-0.73,0.44,0.85,0.64,0.02,0.64,0.00,0.00,0.00,1.17,0.06,1.17
132,2.17,-0.01,0.01,0.02,-0.56,0.26,0.62,0.64,0.02,0.64,0.00,0.00,0.00,1.20,0.03,1.20
133,2.19,-0.02,0.01,0.02,-0.30,0.09,0.31,0.64,0.02,0.64,0.00,0.00,0.00,1.23,0.01,1.23
134,2.21,-0.02,0.01,0.03,-0.12,0.05,0.13,0.64,0.02,0.64,0.00,0.00,0.00,1.25,0.01,1.25
135,2.23,-0.03,0.01,0.03,-0.11,0.12,0.16,0.64,0.02,0.64,0.00,0.00,0.00,1.25,0.02,1.25
136,2.24,-0.03,0.02,0.03,-0.28,0.25,0.38,0.64,0.02,0.64,0.00,0.00,0.00,1.23,0.03,1.23
137,2.26,-0.04,0.02,0.04,-0.67,0.48,0.82,0.64,0.02,0.64,0.00,0.00,0.00,1.18,0.06,1.18
138,2.27,-0.05,0.03,0.06,-1.24,0.69,1.42,0.64,0.02,0.64,0.00,0.00,0.00,1.11,0.09,1.11
139,2.29,-0.08,0.05,0.09,-1.86,0.71,1.99,0.64,0.02,0.64,0.00,0.00,0.00,1.03,0.09,1.03
140,2.31,-0.11,0.06,0.13,-2.32,0.49,2.37,0.64,0.02,0.64,0.00,0.00,0.00,0.97,0.06,0.97
