Weight (lbs):,111.13026281173174
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.45,-1.28,25650,1.09,8189
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.06,-0.09,31441,0.20,44651
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.48,0.00,44776,1.28,25650
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.22,-7.37,11481,5.05,20733
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.18,-0.69,3398,0.91,44651
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.29,0.00,44776,7.37,11481
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,-0.79,30233,0.03,8398
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,-0.02,5565,0.10,30816
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.44,0.00,0,0.79,30233
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.49,0.00,44776,1.35,8148
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,44776,0.02,44651
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.49,0.00,44776,1.35,8148
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.27,11481,1.65,20733
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.04,0.00,44776,0.10,44651
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.27,11481,1.65,20733
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
32,1.27,0.00,0.01,0.01,0.00,-0.15,0.15,-0.01,0.02,0.03,0.00,0.00,0.00,1.09,0.00,1.09
33,1.31,-0.00,0.00,0.00,-0.06,-0.02,0.07,-0.01,0.02,0.03,0.00,0.00,0.00,1.08,0.00,1.08
34,1.35,-0.00,0.00,0.00,0.00,0.06,0.06,-0.01,0.02,0.03,0.00,0.00,0.00,1.09,0.01,1.09
35,1.40,-0.00,0.01,0.01,0.07,0.01,0.07,-0.01,0.02,0.03,0.00,0.00,0.00,1.10,0.00,1.10
36,1.44,0.00,0.00,0.00,0.02,-0.06,0.06,-0.01,0.02,0.03,0.00,0.00,0.00,1.09,0.00,1.09
37,1.48,0.00,0.00,0.00,-0.03,-0.06,0.07,-0.01,0.03,0.03,0.00,0.00,0.00,1.09,0.00,1.09
38,1.52,-0.00,-0.00,0.00,-0.08,-0.02,0.08,-0.01,0.02,0.03,0.00,0.00,0.00,1.08,0.00,1.08
39,1.56,-0.00,0.00,0.00,-0.04,0.03,0.05,-0.01,0.02,0.03,0.00,0.00,0.00,1.09,0.00,1.09
40,1.61,-0.00,0.00,0.00,0.09,0.00,0.09,-0.01,0.02,0.03,0.00,0.00,0.00,1.10,0.00,1.10
41,1.65,0.00,0.00,0.00,0.06,-0.07,0.09,-0.01,0.03,0.03,0.00,0.00,0.00,1.10,0.00,1.10
42,1.69,0.00,-0.00,0.00,-0.06,-0.07,0.09,-0.01,0.03,0.03,0.00,0.00,0.00,1.08,0.00,1.08
43,1.73,-0.00,-0.01,0.01,-0.05,-0.02,0.05,-0.01,0.02,0.03,0.00,0.00,0.00,1.08,0.00,1.08
44,1.77,-0.00,-0.00,0.01,0.02,0.04,0.04,-0.01,0.02,0.03,0.00,0.00,0.00,1.09,0.00,1.09
45,1.81,-0.00,-0.00,0.00,0.07,0.06,0.09,-0.01,0.02,0.03,0.00,0.00,0.00,1.10,0.01,1.10
46,1.86,0.00,-0.00,0.00,0.09,0.02,0.09,-0.01,0.02,0.03,0.00,0.00,0.00,1.10,0.00,1.10
47,1.90,0.00,-0.00,0.00,0.01,-0.03,0.03,-0.01,0.02,0.03,0.01,0.00,0.01,1.09,0.00,1.09
48,1.94,0.00,-0.00,0.00,-0.06,-0.07,0.10,-0.01,0.02,0.03,0.00,0.00,0.00,1.08,0.00,1.08
49,1.98,0.00,-0.01,0.01,-0.06,-0.08,0.10,-0.01,0.02,0.03,0.00,0.00,0.00,1.08,0.00,1.08
50,2.02,-0.00,-0.01,0.01,-0.04,-0.05,0.07,-0.01,0.02,0.03,0.00,0.00,0.00,1.09,0.00,1.09
51,2.06,-0.00,-0.01,0.01,-0.03,0.00,0.03,-0.01,0.02,0.02,0.00,0.00,0.00,1.09,0.00,1.09
52,2.11,-0.00,-0.01,0.01,-0.02,0.08,0.09,-0.01,0.02,0.02,0.00,0.00,0.00,1.09,0.01,1.09
53,2.15,-0.01,-0.00,0.01,-0.06,0.18,0.19,-0.01,0.02,0.02,0.00,0.00,0.00,1.08,0.02,1.08
54,2.19,-0.01,0.01,0.01,-0.18,0.24,0.30,-0.01,0.02,0.02,0.00,0.00,0.00,1.07,0.03,1.07
55,2.23,-0.02,0.02,0.03,-0.35,0.24,0.42,-0.01,0.02,0.02,0.00,0.00,0.00,1.05,0.03,1.05
56,2.27,-0.04,0.03,0.05,-0.52,0.20,0.56,-0.01,0.02,0.03,0.00,0.00,0.00,1.03,0.02,1.03
57,2.31,-0.07,0.03,0.07,-0.76,0.12,0.77,-0.01,0.03,0.03,0.00,0.00,0.00,1.01,0.01,1.01
58,2.36,-0.10,0.03,0.11,-1.14,0.02,1.14,-0.01,0.03,0.03,0.00,0.00,0.00,0.96,0.00,0.96
59,2.40,-0.16,0.03,0.16,-1.53,-0.01,1.53,-0.02,0.03,0.03,0.00,0.00,0.00,0.92,0.00,0.92
60,2.44,-0.23,0.03,0.24,-1.98,-0.01,1.98,-0.03,0.03,0.04,0.00,0.00,0.00,0.87,0.00,0.87
61,2.48,-0.33,0.03,0.33,-2.67,-0.06,2.67,-0.04,0.03,0.05,0.00,0.00,0.00,0.79,0.00,0.79
62,2.52,-0.45,0.03,0.46,-3.40,-0.11,3.41,-0.05,0.03,0.06,0.00,0.00,0.00,0.71,0.00,0.71
63,2.56,-0.60,0.02,0.60,-3.66,-0.15,3.66,-0.07,0.03,0.08,0.00,0.00,0.00,0.68,0.00,0.68
64,2.61,-0.75,0.02,0.75,-3.03,-0.17,3.03,-0.10,0.03,0.11,0.00,0.00,0.00,0.75,0.00,0.75
65,2.65,-0.85,0.01,0.85,-1.68,-0.13,1.68,-0.14,0.03,0.14,0.00,0.00,0.00,0.90,0.00,0.90
66,2.69,-0.89,0.01,0.89,-0.44,-0.10,0.46,-0.18,0.04,0.18,0.00,0.00,0.00,1.04,0.00,1.04
67,2.73,-0.90,0.00,0.90,-0.04,-0.10,0.11,-0.22,0.04,0.22,0.00,0.00,0.00,1.09,0.00,1.09
68,2.77,-0.90,-0.00,0.90,-0.15,-0.04,0.15,-0.25,0.04,0.25,0.00,0.00,0.00,1.07,0.00,1.07
69,2.81,-0.91,-0.00,0.91,-0.05,0.05,0.07,-0.29,0.04,0.29,0.00,0.00,0.00,1.08,0.01,1.08
70,2.86,-0.90,0.00,0.90,0.29,0.14,0.32,-0.33,0.04,0.33,0.00,0.00,0.00,1.12,0.02,1.12
71,2.90,-0.88,0.01,0.88,0.67,0.17,0.69,-0.37,0.04,0.37,0.00,0.00,0.00,1.16,0.02,1.16
72,2.94,-0.85,0.02,0.85,0.95,0.11,0.95,-0.40,0.04,0.40,0.00,0.00,0.00,1.20,0.01,1.20
73,2.98,-0.81,0.02,0.81,1.01,0.06,1.01,-0.44,0.04,0.44,0.00,0.00,0.00,1.20,0.01,1.20
74,3.02,-0.76,0.02,0.76,1.14,0.15,1.15,-0.47,0.04,0.47,0.00,0.00,0.00,1.22,0.02,1.22
75,3.06,-0.71,0.03,0.71,1.29,0.18,1.30,-0.50,0.04,0.50,0.00,0.00,0.00,1.23,0.02,1.23
76,3.11,-0.66,0.04,0.66,1.07,0.03,1.07,-0.53,0.04,0.53,0.00,0.00,0.00,1.21,0.00,1.21
77,3.15,-0.62,0.03,0.62,0.75,-0.11,0.76,-0.55,0.04,0.56,0.00,0.00,0.00,1.17,0.00,1.17
78,3.19,-0.59,0.03,0.59,0.62,-0.12,0.63,-0.58,0.04,0.58,0.00,0.00,0.00,1.16,0.00,1.16
79,3.23,-0.57,0.03,0.57,0.58,0.05,0.59,-0.60,0.04,0.61,0.00,0.00,0.00,1.16,0.01,1.16
