Weight (lbs):,83.91468824559335
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.39,-1.03,2048,0.72,1615
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.08,-0.21,21115,0.36,25648
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.42,0.00,25915,1.04,2048
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.19,-7.37,1881,5.95,981
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.31,-1.29,1948,1.39,12115
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.30,0.00,25915,7.42,1881
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,-0.46,17915,0.03,16280
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.07,-0.08,915,0.29,25915
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.21,0.00,0,0.46,17915
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.33,0.00,25915,0.62,1581
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,25915,0.02,25181
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.33,0.00,25915,0.62,1581
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.82,0.20,1881,1.32,981
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,0.00,25915,0.12,12115
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.82,0.20,1881,1.32,981
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
31,0.98,-0.09,0.03,0.10,5.95,0.43,5.97,-0.45,-0.08,0.46,0.00,0.00,0.00,1.32,0.04,1.32
32,1.01,0.10,0.04,0.11,5.26,0.19,5.27,-0.45,-0.08,0.46,0.12,0.00,0.12,1.26,0.02,1.27
33,1.05,0.25,0.04,0.25,3.92,0.09,3.92,-0.44,-0.08,0.45,0.29,0.00,0.29,1.15,0.01,1.15
34,1.08,0.36,0.04,0.37,3.07,-0.09,3.08,-0.43,-0.07,0.44,0.39,0.00,0.39,1.08,0.00,1.08
35,1.11,0.46,0.04,0.46,2.62,-0.08,2.62,-0.42,-0.07,0.42,0.48,0.00,0.48,1.04,0.00,1.04
36,1.15,0.54,0.04,0.54,1.99,0.07,1.99,-0.40,-0.07,0.41,0.53,0.00,0.53,0.99,0.01,0.99
37,1.18,0.59,0.04,0.59,1.00,0.07,1.01,-0.38,-0.07,0.39,0.53,0.00,0.53,0.91,0.01,0.91
38,1.22,0.60,0.05,0.60,-0.04,0.12,0.13,-0.36,-0.07,0.37,0.49,0.00,0.49,0.82,0.01,0.82
39,1.25,0.59,0.05,0.59,-0.46,0.22,0.51,-0.34,-0.07,0.35,0.46,0.00,0.46,0.78,0.02,0.78
40,1.28,0.58,0.06,0.59,0.04,0.26,0.26,-0.32,-0.07,0.33,0.48,0.00,0.48,0.83,0.02,0.83
41,1.31,0.60,0.07,0.60,0.74,0.37,0.83,-0.30,-0.06,0.31,0.53,0.00,0.53,0.89,0.03,0.89
42,1.35,0.63,0.08,0.63,0.84,0.45,0.95,-0.28,-0.06,0.29,0.56,0.00,0.56,0.89,0.04,0.89
43,1.38,0.65,0.10,0.66,0.55,0.51,0.75,-0.26,-0.06,0.27,0.57,0.00,0.57,0.87,0.04,0.87
44,1.42,0.66,0.12,0.67,0.10,0.54,0.54,-0.24,-0.05,0.24,0.55,0.01,0.55,0.83,0.04,0.83
45,1.45,0.66,0.13,0.67,-0.21,0.19,0.28,-0.21,-0.05,0.22,0.53,0.00,0.53,0.81,0.02,0.81
46,1.48,0.65,0.13,0.67,0.06,-0.28,0.28,-0.19,-0.05,0.20,0.54,0.00,0.54,0.83,0.00,0.83
47,1.51,0.67,0.12,0.68,0.61,-0.48,0.77,-0.17,-0.04,0.18,0.58,0.00,0.58,0.87,0.00,0.87
48,1.55,0.69,0.10,0.70,0.86,-0.33,0.92,-0.15,-0.04,0.15,0.62,0.00,0.62,0.90,0.00,0.90
49,1.58,0.72,0.10,0.72,0.56,0.09,0.57,-0.13,-0.04,0.13,0.62,0.00,0.62,0.87,0.01,0.87
50,1.61,0.72,0.10,0.73,-0.28,0.28,0.40,-0.10,-0.03,0.11,0.58,0.00,0.58,0.80,0.02,0.80
51,1.65,0.70,0.11,0.70,-1.23,-0.04,1.23,-0.08,-0.03,0.08,0.50,0.00,0.50,0.72,0.00,0.72
52,1.68,0.64,0.10,0.65,-2.08,-0.53,2.15,-0.05,-0.02,0.06,0.41,0.00,0.41,0.65,0.00,0.65
53,1.72,0.56,0.08,0.56,-2.95,-0.76,3.04,-0.03,-0.02,0.04,0.32,0.00,0.32,0.58,0.00,0.58
54,1.75,0.44,0.05,0.45,-3.83,-0.55,3.87,-0.01,-0.02,0.02,0.22,0.00,0.22,0.50,0.00,0.50
55,1.78,0.30,0.04,0.30,-5.01,-0.18,5.01,-0.00,-0.02,0.02,0.12,0.00,0.12,0.40,0.00,0.40
56,1.81,0.11,0.04,0.12,-6.25,-0.08,6.25,0.01,-0.02,0.02,0.03,0.00,0.03,0.30,0.00,0.30
57,1.85,-0.11,0.03,0.12,-7.07,-0.36,7.08,0.01,-0.01,0.02,0.00,0.00,0.00,0.23,0.00,0.23
58,1.88,-0.36,0.01,0.36,-7.37,-0.85,7.42,0.00,-0.01,0.01,0.00,0.00,0.00,0.20,0.00,0.20
59,1.92,-0.60,-0.02,0.60,-6.87,-1.21,6.98,-0.02,-0.01,0.02,0.00,0.00,0.00,0.25,0.00,0.25
60,1.95,-0.80,-0.06,0.80,-5.31,-1.29,5.47,-0.04,-0.01,0.04,0.00,0.00,0.00,0.38,0.00,0.38
61,1.98,-0.94,-0.10,0.95,-3.16,-1.00,3.31,-0.07,-0.02,0.07,0.00,0.00,0.00,0.56,0.00,0.56
62,2.02,-1.01,-0.13,1.02,-1.23,-0.57,1.36,-0.11,-0.02,0.11,0.00,0.00,0.00,0.72,0.00,0.72
63,2.05,-1.03,-0.14,1.04,0.25,-0.33,0.41,-0.14,-0.03,0.15,0.00,0.00,0.00,0.84,0.00,0.84
64,2.08,-1.00,-0.15,1.01,1.32,-0.11,1.32,-0.18,-0.03,0.18,0.00,0.00,0.00,0.93,0.00,0.93
65,2.12,-0.95,-0.15,0.96,1.72,0.15,1.73,-0.21,-0.04,0.21,0.00,0.00,0.00,0.97,0.01,0.97
66,2.15,-0.89,-0.14,0.91,1.52,0.27,1.54,-0.24,-0.04,0.25,0.00,0.00,0.00,0.95,0.02,0.95
67,2.18,-0.85,-0.13,0.86,1.14,0.36,1.20,-0.27,-0.05,0.27,0.00,0.00,0.00,0.92,0.03,0.92
68,2.21,-0.82,-0.12,0.83,0.84,0.56,1.01,-0.30,-0.05,0.30,0.00,0.00,0.00,0.89,0.05,0.89
