Weight (lbs):,149.68566011376112
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.41,-2.51,34900,1.26,35033
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,-0.14,11033,0.11,6000
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.42,0.00,35350,2.51,34900
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.82,-11,35266,20,35000
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.46,-2.63,14600,2.74,34783
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,2.10,0.00,35350,20,14600
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.37,-0.02,30766,0.64,13883
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.03,-0.06,30950,0.03,10466
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.29,0.00,0,0.64,13883
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.59,0.00,35350,4.58,35016
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,35350,0.02,10033
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.59,0.00,35350,4.58,35016
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.46,0.00,35283,4.46,35000
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.09,0.00,35350,0.41,34783
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.45,0.00,35266,4.47,10866
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
32,0.50,0.01,-0.00,0.01,0.22,0.13,0.26,0.00,0.01,0.01,0.01,0.00,0.01,1.50,0.02,1.50
33,0.52,0.01,-0.00,0.01,0.36,0.23,0.43,0.00,0.00,0.00,0.02,0.00,0.02,1.52,0.03,1.52
34,0.53,0.02,0.00,0.02,0.54,0.44,0.70,0.00,0.00,0.00,0.03,0.00,0.03,1.55,0.07,1.55
35,0.55,0.03,0.01,0.03,0.68,0.65,0.94,0.00,0.01,0.01,0.05,0.00,0.05,1.57,0.10,1.57
36,0.57,0.04,0.02,0.05,0.55,0.53,0.77,0.00,0.01,0.01,0.06,0.00,0.06,1.55,0.08,1.55
37,0.58,0.05,0.03,0.05,0.12,0.19,0.23,0.00,0.01,0.01,0.07,0.00,0.07,1.49,0.03,1.49
38,0.60,0.04,0.03,0.05,-0.33,0.01,0.33,0.00,0.01,0.01,0.06,0.00,0.06,1.42,0.00,1.42
39,0.62,0.04,0.03,0.05,-0.41,-0.01,0.41,0.01,0.01,0.01,0.05,0.00,0.05,1.41,0.00,1.41
40,0.63,0.03,0.03,0.04,-0.08,-0.06,0.10,0.01,0.01,0.01,0.05,0.00,0.05,1.46,0.00,1.46
41,0.65,0.04,0.03,0.05,0.36,-0.09,0.37,0.01,0.01,0.01,0.05,0.00,0.05,1.52,0.00,1.52
42,0.67,0.04,0.03,0.05,0.71,0.07,0.71,0.01,0.01,0.01,0.07,0.00,0.07,1.57,0.01,1.57
43,0.68,0.06,0.03,0.07,0.99,0.24,1.02,0.01,0.01,0.01,0.09,0.00,0.09,1.62,0.04,1.62
44,0.70,0.08,0.03,0.08,1.20,0.16,1.21,0.01,0.01,0.01,0.13,0.00,0.13,1.65,0.02,1.65
45,0.72,0.10,0.03,0.10,1.16,-0.10,1.17,0.01,0.01,0.01,0.16,0.00,0.16,1.64,0.00,1.64
46,0.73,0.11,0.03,0.12,0.84,-0.32,0.90,0.01,0.01,0.02,0.18,0.00,0.18,1.59,0.00,1.59
47,0.75,0.12,0.03,0.13,0.42,-0.44,0.61,0.01,0.01,0.02,0.19,0.00,0.19,1.53,0.00,1.53
48,0.77,0.13,0.02,0.13,0.12,-0.46,0.47,0.02,0.01,0.02,0.19,0.00,0.19,1.49,0.00,1.49
49,0.78,0.13,0.01,0.13,0.09,-0.43,0.44,0.02,0.01,0.02,0.19,0.00,0.19,1.48,0.00,1.48
50,0.80,0.13,0.00,0.13,0.44,-0.28,0.52,0.02,0.01,0.02,0.21,0.00,0.21,1.53,0.00,1.53
51,0.82,0.15,0.00,0.15,1.16,-0.02,1.16,0.02,0.01,0.03,0.24,0.00,0.24,1.64,0.00,1.64
52,0.83,0.17,0.00,0.17,1.88,0.10,1.89,0.02,0.01,0.03,0.30,0.00,0.30,1.75,0.01,1.75
53,0.85,0.21,0.00,0.21,2.05,0.04,2.05,0.03,0.01,0.03,0.37,0.00,0.37,1.78,0.01,1.78
54,0.87,0.24,0.00,0.24,1.58,0.05,1.58,0.03,0.01,0.03,0.40,0.00,0.40,1.70,0.01,1.70
55,0.88,0.26,0.01,0.26,0.96,0.20,0.98,0.04,0.01,0.04,0.42,0.00,0.42,1.61,0.03,1.61
56,0.90,0.27,0.01,0.27,0.76,0.24,0.80,0.04,0.01,0.04,0.43,0.00,0.43,1.58,0.04,1.58
57,0.92,0.29,0.01,0.29,1.18,0.11,1.19,0.05,0.01,0.05,0.47,0.00,0.47,1.65,0.02,1.65
58,0.93,0.31,0.01,0.31,1.92,-0.06,1.92,0.05,0.01,0.05,0.55,0.00,0.55,1.76,0.00,1.76
59,0.95,0.35,0.01,0.35,2.49,-0.20,2.50,0.05,0.01,0.06,0.64,0.00,0.64,1.84,0.00,1.84
60,0.97,0.39,0.01,0.39,2.53,-0.26,2.55,0.06,0.01,0.06,0.73,0.00,0.73,1.85,0.00,1.85
61,0.98,0.43,0.00,0.43,1.97,-0.17,1.98,0.07,0.01,0.07,0.76,0.00,0.76,1.76,0.00,1.76
62,1.00,0.46,0.00,0.46,1.16,0.01,1.16,0.08,0.01,0.08,0.75,0.00,0.75,1.64,0.00,1.64
63,1.02,0.47,0.00,0.47,0.56,0.27,0.62,0.08,0.01,0.09,0.73,0.00,0.73,1.55,0.04,1.55
64,1.03,0.48,0.01,0.48,0.38,0.58,0.69,0.09,0.01,0.09,0.73,0.00,0.73,1.52,0.09,1.53
65,1.05,0.49,0.02,0.49,0.55,0.84,1.00,0.10,0.01,0.10,0.75,0.00,0.75,1.55,0.13,1.56
66,1.07,0.50,0.04,0.50,0.69,0.81,1.06,0.11,0.01,0.11,0.78,0.00,0.78,1.57,0.12,1.58
67,1.08,0.51,0.05,0.51,0.60,0.55,0.81,0.12,0.01,0.12,0.79,0.00,0.79,1.56,0.08,1.56
68,1.10,0.52,0.06,0.52,0.50,0.37,0.62,0.12,0.02,0.13,0.80,0.00,0.80,1.54,0.06,1.54
69,1.12,0.52,0.06,0.53,0.50,0.21,0.54,0.13,0.02,0.13,0.81,0.00,0.81,1.54,0.03,1.54
70,1.13,0.53,0.06,0.54,0.37,-0.09,0.38,0.14,0.02,0.14,0.81,0.00,0.81,1.52,0.00,1.52
71,1.15,0.53,0.06,0.54,-0.01,-0.36,0.36,0.15,0.02,0.15,0.78,0.00,0.78,1.47,0.00,1.47
72,1.17,0.53,0.05,0.53,-0.35,-0.48,0.59,0.16,0.02,0.16,0.75,0.00,0.75,1.42,0.00,1.42
73,1.18,0.52,0.04,0.53,-0.45,-0.62,0.77,0.17,0.02,0.17,0.73,0.00,0.73,1.40,0.00,1.40
74,1.20,0.52,0.03,0.52,-0.34,-0.75,0.82,0.18,0.02,0.18,0.74,0.00,0.74,1.42,0.00,1.42
75,1.22,0.52,0.02,0.52,0.09,-0.65,0.66,0.19,0.02,0.19,0.76,0.00,0.76,1.48,0.00,1.48
76,1.23,0.52,0.01,0.52,0.76,-0.28,0.81,0.19,0.02,0.20,0.83,0.00,0.83,1.58,0.00,1.58
77,1.25,0.54,0.01,0.54,1.36,0.16,1.37,0.20,0.02,0.20,0.90,0.00,0.90,1.67,0.02,1.67
78,1.27,0.57,0.02,0.57,1.64,0.50,1.72,0.21,0.02,0.21,0.97,0.00,0.97,1.71,0.08,1.72
79,1.28,0.59,0.03,0.59,1.62,0.76,1.79,0.22,0.02,0.22,1.01,0.00,1.01,1.71,0.11,1.71
80,1.30,0.62,0.04,0.62,1.64,0.86,1.85,0.23,0.02,0.23,1.06,0.01,1.06,1.71,0.13,1.72
81,1.32,0.65,0.05,0.65,1.79,0.70,1.92,0.24,0.02,0.24,1.13,0.01,1.13,1.74,0.11,1.74
